start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng
Public Rack - Kingston Ave & 75th St,3,0,0,2023-03-15,2023-10-06,41.758934617,-87.562296629
Public Rack - Kinzua Ave & Devon Ave,13,2,0,2023-05-12,2024-01-29,41.997710347,-87.77
Public Rack - Kolin Ave & Archer Ave,8,0,0,2023-04-04,2023-10-05,41.8,-87.73217033333333
Public Rack - Komensky Ave & 26th St,5,0,0,2023-02-23,2023-08-24,41.84,-87.73
Public Rack - Komensky Ave & 31st St,37,0,0,2023-02-07,2023-05-19,41.84,-87.73
Public Rack - Komensky Ave & 59th St,4,0,0,2023-02-13,2023-11-19,41.786034226,-87.723539233
Public Rack - Komensky Ave & 63rd St,36,0,0,2023-03-09,2023-12-25,41.778555751,-87.72405016666667
Public Rack - Kostner & 83rd,16,0,0,2023-05-21,2023-10-01,41.74,-87.731607318
Public Rack - Kostner & Bryn Mawr,17,0,0,2023-05-05,2023-12-11,41.98,-87.74
Public Rack - Kostner & Peterson,23,1,0,2023-05-03,2024-01-03,41.98990616666666,-87.74
Public Rack - Kostner Ave & 16th St,1,0,0,2023-06-04,2023-06-04,41.858782649,-87.734235168
Public Rack - Kostner Ave & Armitage Ave,619,7,0,2023-02-01,2024-01-26,41.91694816666666,-87.74
Public Rack - Kostner Ave & Diversey Ave,216,9,0,2023-02-05,2024-01-30,41.93,-87.74
Public Rack - Kostner Ave & Lake St,8,0,0,2023-04-27,2023-07-06,41.885603,-87.74
Public Rack - Kostner Ave & North Ave,7,0,0,2023-04-20,2023-12-15,41.908458,-87.74
Public Rack - Kostner Ave & Wrightwood Ave,23,1,0,2023-03-02,2024-01-09,41.9278755,-87.74
Public Rack - Lafayette Ave & 119th St,1,0,0,2023-09-14,2023-09-14,41.677976,-87.62351216666667
Public Rack - Lafayette Ave & 87th St - NW,13,0,0,2023-02-28,2023-10-22,41.736364245,-87.63
Public Rack - Lafayette Ave & 87th St SW,1,0,0,2023-08-10,2023-08-10,41.736096833333335,-87.62639583333333
Public Rack - Lafayette Ave & 95th St,125,8,0,2023-02-04,2024-01-27,41.72,-87.63
Public Rack - Laflin St & 51st St,10,0,0,2023-03-31,2023-08-13,41.8,-87.66252133333333
Public Rack - Laflin St & 79th St,3,0,0,2023-04-16,2023-06-30,41.75,-87.66199466666667
Public Rack - Laflin St &51st ST,17,0,0,2023-02-11,2023-09-24,41.8,-87.6625035
Public Rack - Lake Park Ave & 44th St,2,0,0,2023-06-19,2023-08-25,41.814572166666665,-87.5980335
Public Rack - Lake Park Ave & 47th St,8,0,0,2023-05-03,2023-10-11,41.809444904,-87.59217983333333
Public Rack - Lake Shore Dr & Hayes Dr,7,0,0,2023-05-07,2023-09-30,41.78,-87.574553132
Public Rack - Lamon Ave & Archer Ave,16,0,0,2023-07-01,2023-10-16,41.798214078,-87.745205522
Public Rack - Lamon Ave & Erie St,1,0,0,2023-10-23,2023-10-23,41.892190166666666,-87.74686416666667
Public Rack - Langley Ave & 105th Pl,2,0,0,2023-09-07,2023-09-08,41.70227183333333,-87.606445313
Public Rack - Langley Ave & 49th St,163,7,0,2023-02-07,2024-01-10,41.80486083,-87.61
Public Rack - Langley Ave & 79th St,10,0,0,2023-05-28,2023-12-31,41.75117083333333,-87.607572079
Public Rack - Langley Ave & Oakwood Blvd,27,3,0,2023-04-18,2024-01-26,41.82,-87.61
Public Rack - Laporte Ave & Armitage Ave,17,0,0,2023-03-02,2023-10-12,41.916919351,-87.75040016666667
Public Rack - Laramie Ave & Belmont Ave,58,1,0,2023-02-15,2024-01-24,41.93841716666667,-87.76
Public Rack - Laramie Ave & Fullerton Ave,34,0,0,2023-02-28,2023-11-21,41.92,-87.76
Public Rack - Laramie Ave & Grand Ave,54,7,0,2023-02-14,2024-01-20,41.916676521,-87.76
Public Rack - Laramie Ave & Warwick Ave,26,0,0,2023-03-19,2023-11-30,41.94872266666667,-87.76
Public Rack - Laramine Ave & Winnemac Ave,105,0,0,2023-05-06,2023-12-31,41.97,-87.76
Public Rack - Lavergne & Lawrence,102,0,0,2023-05-05,2023-11-21,41.967817783,-87.752583385
Public Rack - Lavergne Ave & Belle Plaine Ave,8,0,0,2023-05-13,2023-10-14,41.9552655,-87.75185766666667
Public Rack - Lawndale & 63rd St,3,0,0,2023-02-23,2023-03-02,41.78,-87.71
Public Rack - Lawndale Ave & 23rd St,67,1,0,2023-02-19,2024-01-12,41.849687815,-87.72
Public Rack - Lawndale Ave & 63rd St,6,0,0,2023-02-15,2023-10-24,41.77866292,-87.714151263
Public Rack - Lawndale Ave & Diversey Ave,269,9,0,2023-02-04,2024-01-30,41.93,-87.72
Public Rack - Lawrence Ave & Kimball Ave,33,0,0,2023-05-04,2023-11-03,41.968104959,-87.71307616666667
Public Rack - Leader & Caldwell,18,0,0,2023-05-05,2023-12-26,41.99,-87.754513621
Public Rack - Leamington & Elston,35,0,0,2023-05-07,2023-12-22,41.977848768,-87.76
Public Rack - Leclaire Ave & Division St,1,0,0,2023-04-17,2023-04-17,41.9,-87.75
Public Rack - Legler Regional Library,2,0,0,2023-03-16,2023-04-10,41.88,-87.73
Public Rack - Leland Ave & Melvina Ave,9,0,0,2023-05-06,2023-09-01,41.965823293,-87.78224349
Public Rack - Lemont Ave & Keating Ave,24,0,0,2023-05-20,2023-12-11,41.99,-87.75
Public Rack - Leoti Ave & Central Ave (south),8,0,0,2023-05-12,2023-08-09,41.998367906,-87.76359883333333
Public Rack - Linder & 51st,16,0,0,2023-05-04,2023-07-28,41.799878359,-87.760087848
Public Rack - Linder & Elston,20,0,0,2023-05-09,2023-09-09,41.98,-87.77
Public Rack - Linder Ave & 64th Pl,14,0,0,2023-05-21,2023-11-06,41.775418639,-87.758113384
Public Rack - Linder Ave & Archer Ave,15,0,0,2023-05-20,2023-12-30,41.795892333333335,-87.76
Public Rack - Linder Ave & Belmont Ave,10,0,0,2023-04-20,2023-12-12,41.9385765,-87.763724
Public Rack - Lockwood & Archer,56,3,0,2023-05-03,2024-01-30,41.796605468,-87.76
Public Rack - Lockwood Ave & Diversey Ave,78,0,0,2023-02-02,2023-12-02,41.93,-87.76
Public Rack - Longwood Dr & 111th St,3,0,0,2023-02-01,2023-02-12,41.69,-87.67
Public Rack - Longwood Dr & 95th St,3,0,0,2023-07-24,2023-09-21,41.720960833333336,-87.6697575
Public Rack - Loomis Blvd & 47th St,6,0,0,2023-04-19,2023-10-04,41.8085755,-87.66057216666667
Public Rack - Loomis Blvd & 83rd St,3,0,0,2023-06-07,2023-09-06,41.743022,-87.658887
Public Rack - Loomis St & 87th St,54,0,0,2023-02-03,2023-09-06,41.735625267,-87.66
Public Rack - Lorel Ave & Chicago Ave,3,0,0,2023-04-07,2023-08-18,41.89,-87.76
Public Rack - Lorel Ave & Grand Ave,30,0,0,2023-02-02,2023-12-15,41.917448878,-87.76
Public Rack - Lotus Ave & Lawrence Ave,37,0,0,2023-05-05,2023-12-31,41.96761,-87.763760209
Public Rack - Lowe Ave & 94th St,1,0,0,2023-08-18,2023-08-18,41.724411845,-87.639570117
Public Rack - Lowe Park,1,0,0,2023-05-28,2023-05-28,41.799389958,-87.641551137
Public Rack - Lowell Ave & Elston Ave,223,5,0,2023-02-02,2024-01-24,41.965871666666665,-87.74
Public Rack - Lynch & Elston,30,0,0,2023-05-30,2023-12-25,41.98097516666667,-87.761445761
Public Rack - Mackinaw Ave & 106th St,3,0,0,2023-05-29,2023-07-10,41.7022415,-87.542741418
Public Rack - Mackinaw Ave & 108th St,3,0,0,2023-08-29,2023-09-30,41.698847175,-87.543011904
Public Rack - Mackinaw Ave & 85th St,19,2,0,2023-08-23,2024-01-21,41.742033601,-87.543258309
Public Rack - Mango & Higgins,16,0,0,2023-05-10,2023-11-13,41.97,-87.772470236
Public Rack - Maplewood Ave & 47th St,20,0,0,2023-02-01,2023-12-15,41.808420777,-87.69
Public Rack - Maplewood Ave & 63rd St,9,4,0,2023-03-14,2024-01-13,41.779100418,-87.69
Public Rack - Marquette Ave & 79th St,1,0,0,2023-09-07,2023-09-07,41.7513515,-87.55881633333334
Public Rack - Marquette Ave & 83rd St,13,0,0,2023-09-10,2023-12-27,41.74457266666667,-87.55864283333334
Public Rack - Marquette Rd & 67th St,6,0,0,2023-06-01,2023-09-17,41.77304566666667,-87.613163948
Public Rack - Marshfield Ave & 45th St,20,0,0,2023-04-06,2023-10-13,41.81,-87.67
Public Rack - Marshfield Ave & 87th St,27,0,0,2023-04-11,2023-09-22,41.735602166666666,-87.663971066
Public Rack - Martin Luther King Dr & 44th St,63,12,0,2023-06-28,2024-01-24,41.814168,-87.61656116666667
Public Rack - Martin Luther King Dr & 69th St,2,0,0,2023-03-20,2023-12-13,41.769214988,-87.62
Public Rack - Mason & Archer,6,0,0,2023-05-09,2023-08-30,41.79,-87.770920873
Public Rack - Mason Ave & Archer Ave,3,0,0,2023-07-21,2023-08-25,41.794190168,-87.771516204
Public Rack - Mason Ave & Milwaukee Ave,1,0,0,2023-07-16,2023-07-16,41.9857305,-87.77722466666667
Public Rack - Mason Ave & Roosevelt Rd,3,1,0,2023-09-21,2024-01-07,41.86550883333334,-87.77246433333333
Public Rack - May St & 63rd St,2,0,0,2023-08-18,2023-10-18,41.77966933333333,-87.653135
Public Rack - May St & 78th St,2,0,0,2023-08-15,2023-09-12,41.752373099,-87.65313316666666
Public Rack - McCormick Blvd & Devon Ave,37,0,0,2023-02-07,2023-09-25,41.99599116666667,-87.71232
Public Rack - McVicker & 52nd,4,0,0,2023-05-15,2023-08-24,41.79798933333333,-87.7731125
Public Rack - McVicker Ave & Grand Ave,4,0,0,2023-04-13,2023-08-04,41.92,-87.78
Public Rack - Meade Ave & Archer Ave,23,2,0,2023-05-17,2024-01-04,41.79,-87.774363875
Public Rack - Melvina & Foster,31,0,0,2023-05-14,2023-12-11,41.975496166666666,-87.783414721
Public Rack - Melvina Ave & Belmont Ave,47,0,0,2023-02-19,2023-11-27,41.9383295,-87.78153516666667
Public Rack - Melvina Ave & Montrose Ave,25,0,0,2023-05-05,2023-11-26,41.958795333333335,-87.78207033333334
Public Rack - Menard Ave & Agusta Blvd,2,0,0,2023-03-20,2023-03-21,41.9,-87.77
Public Rack - Menard Ave & Belmont Ave,19,3,0,2023-04-04,2024-01-30,41.9384085,-87.77155316666666
Public Rack - Menard Ave & Dakin St - midblock,72,1,0,2023-02-21,2024-01-28,41.95,-87.772041202
Public Rack - Menard Ave & Grand Ave,29,0,0,2023-03-20,2023-12-17,41.919717193,-87.771385074
Public Rack - Menard Ave & Leland Ave,1,0,0,2023-11-07,2023-11-07,41.96563673,-87.77236259
Public Rack - Menard Ave & Madison St,1,0,0,2023-08-07,2023-08-07,41.880022407,-87.770124912
Public Rack - Miami Ave & Milwaukee Ave,5,0,0,2023-06-13,2023-08-11,41.991409833333336,-87.78210866666667
Public Rack - Michele Clark Magnet High School,3,0,0,2023-05-13,2023-10-13,41.87,-87.753463149
Public Rack - Michigan Ave & 107th St,2,2,0,2024-01-02,2024-01-02,41.699533343,-87.621025443
Public Rack - Michigan Ave & 110th St,2,0,0,2023-08-18,2023-09-30,41.694224166666665,-87.62080266666666
Public Rack - Michigan Ave & 113th St,1,0,0,2023-05-30,2023-05-30,41.688697338,-87.620903373
Public Rack - Michigan Ave & 119th St,2,0,0,2023-04-21,2023-06-30,41.677974224,-87.620752454
Public Rack - Michigan Ave & 67th St,2,0,0,2023-06-05,2023-08-18,41.771862745,-87.621796131
Public Rack - Michigan Ave & 96th St,33,0,0,2023-02-05,2023-12-27,41.718621254,-87.620872617
Public Rack - Midway Orange Line,224,2,0,2023-02-04,2024-01-10,41.785590172,-87.74
Public Rack - Milwaukee Ave & Addison St,45,0,0,2023-03-16,2023-12-08,41.946171761,-87.74
Public Rack - Milwaukee Ave & Catalpa Ave,54,3,0,2023-05-17,2024-01-30,41.977061629,-87.77
Public Rack - Milwaukee Ave & Culyer Ave,72,2,0,2023-05-02,2024-01-07,41.95,-87.75
Public Rack - Milwaukee Ave & Diversey Ave,226,5,0,2023-02-03,2024-01-26,41.93,-87.71168283333333
Public Rack - Milwaukee Ave & Haussen Ct,348,6,0,2023-02-02,2024-01-30,41.937460065,-87.72201683333333
Public Rack - Milwaukee Ave & Higgins Ave,196,1,0,2023-05-02,2024-01-03,41.9683415,-87.76147766666666
Public Rack - Milwaukee Ave & Kennedy Expy,97,3,0,2023-05-15,2024-01-23,41.97,-87.7639945
Public Rack - Milwaukee Ave & Lawrence Ave,32,0,0,2023-05-03,2023-11-08,41.967077255,-87.760558248
Public Rack - Milwaukee Ave & Leland Ave,13,0,0,2023-05-27,2023-12-28,41.966076,-87.75936616666667
Public Rack - Milwaukee Ave & Pensacola Ave,40,1,0,2023-05-10,2024-01-02,41.959307,-87.7535525
Public Rack - Milwaukee Ave & School St,163,0,0,2023-02-05,2023-12-29,41.94,-87.73
Public Rack - Milwaukee Ave & Sunnyside Ave,22,1,0,2023-05-16,2024-01-23,41.96,-87.76
Public Rack - Milwaukee Ave & Warner Ave,12,0,0,2023-06-03,2023-12-29,41.956187963,-87.750895023
Public Rack - Milwaukee Ave & Waveland Ave,12,1,0,2023-03-15,2024-01-26,41.947508166666665,-87.74
Public Rack - Minnehaha Ave & Devon Ave,14,0,0,2023-05-04,2023-11-24,41.997402072,-87.76197648
Public Rack - Minuteman Park,29,0,0,2023-05-18,2023-11-04,41.78524516666667,-87.762720704
Public Rack - Mobile Ave & Archer Ave,28,1,0,2023-05-03,2024-01-30,41.79,-87.78038666666667
Public Rack - Mont Clare Ave & Higgins Ave,12,1,0,2023-05-05,2024-01-17,41.98,-87.81
Public Rack - Monticello & Lawrence,33,0,0,2023-05-11,2023-12-07,41.968175333333335,-87.72
Public Rack - Monticello Ave & Belmont Ave,267,1,0,2023-02-21,2024-01-30,41.93919313,-87.72
Public Rack - Montrose Ave & Lavergne Ave,8,0,0,2023-07-15,2023-10-25,41.960574,-87.75171766666666
Public Rack - Morgan St & 87th St,1,0,0,2023-05-22,2023-05-22,41.73594716666667,-87.64809083333333
Public Rack - Morgan St & 95th St,5,0,0,2023-02-13,2023-11-24,41.72,-87.65
Public Rack - Mozart & 79th,2,0,0,2023-05-20,2023-05-20,41.75,-87.69
Public Rack - Mozart Elementary School,22,0,0,2023-03-14,2023-10-28,41.92,-87.722012043
Public Rack - Mt Greenwood Library - South,1,0,0,2023-02-19,2023-02-19,41.69,-87.7
Public Rack - Mulligan & Northwest Hwy,2,0,0,2023-07-22,2023-11-26,41.98548933333333,-87.78671716666666
Public Rack - Mulligan Ave & 56th St,18,1,0,2023-05-05,2024-01-26,41.79,-87.78013383333334
Public Rack - N Narragansett Ave & Grand Ave,49,0,0,2023-02-25,2023-12-19,41.92,-87.79
Public Rack - N. Oakview and W. Gregory St,48,3,0,2023-05-07,2024-01-20,41.98,-87.84416604
Public Rack - Nagel & Higgins,39,0,0,2023-05-05,2023-12-17,41.976066947,-87.79
Public Rack - Nagle Ave & Belmont Ave,177,12,0,2023-02-04,2024-01-31,41.9381975,-87.79
Public Rack - Narragansett Ave & Fullerton Ave,21,1,0,2023-04-28,2024-01-07,41.92,-87.78482616666666
Public Rack - Nashotah & Northwest Hwy,78,2,0,2023-05-18,2024-01-06,41.988072753,-87.791367173
Public Rack - Natoma Ave & 61st St,19,0,0,2023-05-14,2023-12-09,41.78,-87.79
Public Rack - Natoma Ave & Bryn Mawr Ave,21,1,0,2023-05-10,2024-01-29,41.98,-87.79093647
Public Rack - Neenah & Archer,6,0,0,2023-05-19,2023-12-04,41.79,-87.79
Public Rack - Neenah & Dakin,4,0,0,2023-05-11,2023-12-01,41.95,-87.790693521
Public Rack - Neola & Northwest Hwy,3,0,0,2023-05-09,2023-05-29,41.99,-87.8
Public Rack - Neva & Foster,34,0,0,2023-05-05,2023-12-04,41.97,-87.81
Public Rack - Neva Ave & Grand Ave,49,5,0,2023-03-31,2024-01-09,41.92,-87.80495216666667
Public Rack - New England Ave & Grace St,4,0,0,2023-05-10,2023-05-14,41.95,-87.8
Public Rack - Newcastle & Archer,7,0,0,2023-05-20,2023-09-29,41.79,-87.792900801
Public Rack - Newcastle Ave & Belden Ave,10,0,0,2023-03-28,2023-08-07,41.92,-87.8
Public Rack - Newcastle Ave & Belmont Ave,10,0,0,2023-03-09,2023-08-20,41.93777133333333,-87.8
Public Rack - Newcastle Ave & Wellington Ave,1,0,0,2023-10-02,2023-10-02,41.935208321,-87.795710444
Public Rack - Newland Ave & Diversey Ave,10,0,0,2023-02-03,2023-09-20,41.93,-87.8
Public Rack - Nina Ave & Avondale Ave,4,0,0,2023-05-17,2023-06-04,41.99,-87.8
Public Rack - Nordica & Archer,44,0,0,2023-05-05,2023-12-21,41.79,-87.8
Public Rack - Nordica Ave & Addison St,7,0,0,2023-03-02,2023-08-17,41.9453725,-87.8035005
Public Rack - Nordica Ave & Higgins Ave,5,0,0,2023-06-02,2023-11-12,41.97996183333333,-87.802125812
Public Rack - Normal Ave & 111th St,31,0,0,2023-03-16,2023-11-15,41.69,-87.64
Public Rack - Normal Blvd & 61st Pl,4,0,0,2023-07-03,2023-08-21,41.782018781,-87.637496948
Public Rack - Normandy Ave & Archer Ave,12,0,0,2023-05-11,2023-12-21,41.79,-87.79
Public Rack - Normandy Ave & Raven St,2,0,0,2023-05-11,2023-06-03,41.99,-87.79232
Public Rack - Northwest Hwy & Bryn Mawr,12,0,0,2023-06-29,2023-09-21,41.98293566666667,-87.782927036
Public Rack - Northwest Hwy & Highland Ave,2,0,0,2023-05-16,2023-09-15,41.99620831,-87.81
Public Rack - Northwest Hwy & Neva Ave,11,0,0,2023-05-10,2023-09-20,41.995849,-87.81
Public Rack - Northwest Hwy & Overhill Ave,1,0,0,2023-07-08,2023-07-08,42.011640166666666,-87.81261066666667
Public Rack - Northwest Hwy & Raven St,2,0,0,2023-09-14,2023-10-06,41.992779,-87.7996775
Public Rack - Norwood Park,11,0,0,2023-05-17,2023-09-18,41.98653466666666,-87.7940065
Public Rack - Norwood Park Station ,31,0,0,2023-07-03,2023-10-27,41.991896833333335,-87.799247
Public Rack - Oak Park & Higgins,8,0,0,2023-05-12,2023-11-22,41.978839278,-87.8
Public Rack - Oak Park Ave & Foster Ave,3,0,0,2023-05-17,2023-06-29,41.97,-87.811949492
Public Rack - Oakley & 79th Pl,1,0,0,2023-05-22,2023-05-22,41.74927,-87.67935033333333
Public Rack - Octavia Ave & Touhy Ave,1,0,0,2023-05-27,2023-05-27,42.01175533333333,-87.80840616666667
Public Rack - Odell & Talcott,11,0,0,2023-05-15,2023-09-22,41.987037666666666,-87.81046783333333
Public Rack - Oglesby Ave & 105th St,1,0,0,2023-08-20,2023-08-20,41.704675794,-87.565681338
Public Rack - Oglesby Ave & 95th St,2,0,0,2023-02-20,2023-09-01,41.72,-87.57
Public Rack - Oketo & Northwest Hwy,6,0,0,2023-05-13,2023-10-21,42.0,-87.812449098
Public Rack - Oketo & Talcott,5,0,0,2023-05-20,2023-08-08,41.988541,-87.81253966666667
Public Rack - Oketo Ave & Belmont Ave,48,0,0,2023-04-24,2023-10-17,41.93797983333333,-87.812013268
Public Rack - Oleander Ave & Addison St,1,0,0,2023-09-05,2023-09-05,41.94503266666667,-87.81552833333333
Public Rack - Olmstead Ave & Oliphant Ave,84,8,0,2023-05-07,2024-01-28,42.0,-87.82
Public Rack - Osceola Ave & Touhy Ave,4,0,0,2023-05-11,2023-08-09,42.01,-87.812719703
Public Rack - Ottowa Ave & Touhy Ave,6,0,0,2023-05-28,2023-09-30,42.011466622,-87.8182255
Public Rack - Overhill Ave & Touhy Ave,16,2,0,2023-05-11,2024-01-28,42.01,-87.82
Public Rack - Ozanam Ave & Devon Ave,8,0,0,2023-05-07,2023-11-18,41.996911764,-87.821405768
